measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1989,0.24821644182298955,0.2553206210037556,0.23464836709607897
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1989,212.3983724681964,218.56156947378608,200.8678297579426
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1989,170.25444307545877,174.94516472961905,161.57410600762086
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1990,540061.975221494,556391.9348013203,509761.7388257009
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1990,0.2519239965758757,0.2593127581866849,0.23784195282141413
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1990,212.5437747902111,218.97050248168466,200.61898297727828
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1990,169.26483528111348,174.07752657110447,160.49273314060974
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1984,202137.32508094507,206599.47092059857,193604.98022257953
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1984,0.2724157348483229,0.2787250193359364,0.26068559357407156
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1984,164.8720698383697,168.5115917337433,157.9127150689813
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1984,147.794360736481,151.58348281632664,140.6455694474632
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1986,213291.86071522685,218461.76468216913,203444.58942198768
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1986,0.28375216641239587,0.29072891030588055,0.2707825522943399
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1986,172.15959510125307,176.33250901684525,164.21132068978957
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1986,146.1937636154401,150.23251868436807,138.7593004086541
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1985,8529.473048974192,10219.637653864558,6991.465896197297
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1985,0.03416210675314695,0.04013319938927936,0.028516591746168118
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1985,56.76318625837274,68.01114116998815,46.52783104023483
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1985,137.6812191948869,165.46762802010963,114.26790859849524
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1991,548939.32433713,565497.9084744131,516688.88931735465
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1991,0.2537650145752033,0.2615666604732372,0.23919217249411326
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1991,213.6971931455083,220.1433025709425,201.1423858363947
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1991,169.1912829493597,173.97227936263627,160.07616159301824
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1992,555379.8776579363,572765.0708826665,522306.54485792306
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1992,0.25464810164487867,0.2626973599108909,0.23953687472928303
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1992,213.8844405438824,220.57971791385054,201.14744453912405
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1992,168.2364909167591,173.21536920586217,159.10564655964896
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1994,574503.5201845116,592213.3949541734,538587.8223686762
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1994,0.25181021397561876,0.2595964266313177,0.23610583479924602
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1994,216.76313667197928,223.44516362267044,203.2119589318967
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1994,168.53704817031428,173.30425274516787,159.0424418352614
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1987,8495.790305842349,10354.618011508788,6942.030521330993
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1987,0.033063579455270393,0.03941809098323057,0.02739235797198733
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1987,53.62045065295391,65.35228202778075,43.81402925450638
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1987,132.7182625524117,160.34498614576052,107.57756131468936
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1986,8485.748347456623,10298.664699457839,6912.985352174745
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1986,0.032772541100519345,0.03870003162806166,0.027232805794757828
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1986,55.02443511618173,66.77999209209115,44.826112959602845
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1986,135.11359163177397,163.16893369011473,111.49186024058385
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1997,579428.8936730224,598109.9534523925,541344.1328797904
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1997,0.25158574184906435,0.259670658560164,0.23496491055979196
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1997,212.3097666223075,219.15473325293888,198.35504885767995
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1997,162.01367380800417,166.73651673803397,152.49717636771356
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1988,227639.94026238436,233912.10247848384,215939.52247317292
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1988,0.29110295197975533,0.2988261482673711,0.2764929801387457
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1988,182.1645560155641,187.18373518085647,172.80151801216454
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1988,145.938080193909,150.4054127518932,137.59503851991425
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1995,581809.1562086114,599883.2162779984,545034.362978593
